organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
Parallel Wireless,006685e2-fb79-1473-7ce9-9828995c53a2,Kaitki Agarwal,https://www.linkedin.com/in/kaitki-agarwal-4685942/,1,0
Parallel Wireless,006685e2-fb79-1473-7ce9-9828995c53a2,Rajesh Mishra,https://www.linkedin.com/in/rmishra/,1,0
Parallel Wireless,006685e2-fb79-1473-7ce9-9828995c53a2,Sridhar Donepudi,https://www.linkedin.com/in/sridhar-donepudi-8792bb1,1,0
Parallel Wireless,006685e2-fb79-1473-7ce9-9828995c53a2,Steve Papa,https://www.linkedin.com/in/stpapa,1,0
HeartFlow,0074c110-5dd9-4af1-29a7-cecd2ae1b86c,Charles A. Taylor,https://www.linkedin.com/in/charles-taylor-01765421,1,0
HeartFlow,0074c110-5dd9-4af1-29a7-cecd2ae1b86c,Christopher K. Zarins,https://www.linkedin.com/in/christopher-zarins-26577b34,1,0
Traackr,00caf3de-db65-92b5-816f-15dcf5bb249f,David Chancogne,https://www.linkedin.com/in/dchancogne,1,0
Traackr,00caf3de-db65-92b5-816f-15dcf5bb249f,Pierre-Loïc Assayag,http://www.linkedin.com/in/pierreloic,1,0
Alation,00e68e6e-a157-3be8-20b7-55e84f5d8719,Aaron Kalb,https://www.linkedin.com/in/akalb/en/,1,0
Alation,00e68e6e-a157-3be8-20b7-55e84f5d8719,Feng Niu,https://www.linkedin.com/in/feng-niu-62475a44/,1,0
Alation,00e68e6e-a157-3be8-20b7-55e84f5d8719,Satyen Sangani,http://www.linkedin.com/in/ssangani/,1,0
Alation,00e68e6e-a157-3be8-20b7-55e84f5d8719,Venky Ganti,https://www.linkedin.com/in/venky-ganti-2679a2/,1,0
Vineti,018f2f2e-e6cc-d8b7-dd80-15ffbe869128,Amy DuRoss,https://www.linkedin.com/in/amy-duross-695b743,1,0
Vineti,018f2f2e-e6cc-d8b7-dd80-15ffbe869128,Heidi M. Hagen,https://www.linkedin.com/in/heidihagen/,1,0
Vineti,018f2f2e-e6cc-d8b7-dd80-15ffbe869128,Malek Faham,https://www.linkedin.com/in/malek-faham-7233905,1,0
Vineti,018f2f2e-e6cc-d8b7-dd80-15ffbe869128,Stephen Ting,https://www.linkedin.com/in/razmikabnous/,1,0
WeKanCode,01c04deb-18a8-3fde-142b-dbd80d56ead1,Pablo Jimenez Godoy,https://www.linkedin.com/in/pablojgodoy/,1,0
WeKanCode,01c04deb-18a8-3fde-142b-dbd80d56ead1,Sathya Nellore Sampat,https://www.linkedin.com/in/sathyanarayanaa/,1,0
Outschool,02a1e9ad-1e9f-1c37-c6ab-c6781518f66a,Amir Nathoo,https://www.linkedin.com/in/amirnathoo/,1,0
Bindo,037a6606-e4cb-00a6-7fe8-34a30ac2f671,Brad Lauster,https://www.linkedin.com/in/bradlau/,1,0
Bindo,037a6606-e4cb-00a6-7fe8-34a30ac2f671,Jason Ngan,http://www.linkedin.com/in/jasonngan,1,0
Bindo,037a6606-e4cb-00a6-7fe8-34a30ac2f671,JoMing Au,https://www.linkedin.com/in/jomingau,1,0
ANGL,0393d560-9178-c63c-fbd8-5daa672c6a7c,Andras Kövécs,https://www.linkedin.com/in/andras-kovecs/,1,0
ANGL,0393d560-9178-c63c-fbd8-5daa672c6a7c,Laszlo Nemes,http://www.linkedin.com/pub/laszlo-nemes/16/b14/79a,1,0
Curology,042758c0-8cdd-37d9-22fd-a0b9b8a36f09,David Lortscher,https://www.linkedin.com/in/davidlortschermd/,1,0
Curology,042758c0-8cdd-37d9-22fd-a0b9b8a36f09,Kris Fredrickson,https://www.linkedin.com/in/glenn-lortscher-20205714,1,0
Curology,042758c0-8cdd-37d9-22fd-a0b9b8a36f09,Nancy Satur,http://www.linkedin.com/in/krisfredrickson,1,0
MOD Super Fast Pizza,0454a814-3cf3-c79d-0f8a-babfd3b0711a,Ally Svenson,https://www.linkedin.com/in/scottsvenson,1,0
Vertoz Inc.,0474b85a-8bb5-5af4-4473-13f008c712e8,Ashish Shah,https://www.linkedin.com/in/ashishrshah/,1,0
Vertoz Inc.,0474b85a-8bb5-5af4-4473-13f008c712e8,Hiren Shah,http://www.linkedin.com/in/hirenhshah,1,0
LotusFlare,0480f38e-4d7b-4518-6338-b993579fd8d3,Sam Gadodia,https://www.linkedin.com/in/samgadodia,1,0
LotusFlare,0480f38e-4d7b-4518-6338-b993579fd8d3,Terry Guo,https://www.linkedin.com/in/shaoxia,1,0
Giphy,048f759f-06e4-456b-6126-3d4a57141b5d,Alex Chung,https://www.linkedin.com/in/jace-cooke-06523243,1,0
PrecisionHawk,0498e9ec-f4ca-08de-38f4-df2031f0b580,Christopher Dean,https://www.linkedin.com/in/ernest-earon-ba7a7b13,1,0
Social Fulcrum,049b29c3-35df-ddeb-0bd8-edf4b8bf77ba,Andrew Krebs-Smith,https://www.linkedin.com/in/andrewkrebssmith,1,0
Social Fulcrum,049b29c3-35df-ddeb-0bd8-edf4b8bf77ba,Noah Freeman,https://www.linkedin.com/in/noahfreeman,1,0
DroneBase,04e76176-e151-ee6c-df29-926ce7c8e247,Daniel Burton,https://www.linkedin.com/in/daniel-burton-28711789,1,0
DroneBase,04e76176-e151-ee6c-df29-926ce7c8e247,Eli Tamanaha,http://www.linkedin.com/pub/eli-tamanaha/1/9b8/a9a/en,1,0
Netpulse,04f71f52-ac06-78fc-62d4-d3a56b6728d0,Bryan Arp,http://www.linkedin.com/in/bryanarp,1,0
Netpulse,04f71f52-ac06-78fc-62d4-d3a56b6728d0,Tom Proulx,https://www.linkedin.com/in/proulxthomas,1,0
Highfive,05473630-c195-7d14-232e-d890d5ef998b,Jeremy Roy,https://www.linkedin.com/in/jeremyaroy/,1,0
Highfive,05473630-c195-7d14-232e-d890d5ef998b,Shan Sinha,https://www.linkedin.com/in/shansinha,1,0
Quartet Health,055d2706-5826-b25c-f562-207ef10db707,Arun Gupta,https://www.linkedin.com/in/arungupta1/,1,0
Quartet Health,055d2706-5826-b25c-f562-207ef10db707,Steve Shulman,https://www.linkedin.com/in/steve-shulman-021b1053/,1,0
Owned Outcomes,05ac1132-297f-44a9-aeb4-9eb907051d53,Anita Pramoda,https://www.linkedin.com/in/anitapramoda,1,0
Owned Outcomes,05ac1132-297f-44a9-aeb4-9eb907051d53,Krupa Srinivas,https://www.linkedin.com/in/krupasrinivas/,1,0
Expel,05d37991-ec7d-c936-2694-630fda083232,Dave Merkel,http://www.linkedin.com/in/davemerkel,1,0
Expel,05d37991-ec7d-c936-2694-630fda083232,Justin Bajko,https://linkedin.com/in/justinbajko,1,0
Expel,05d37991-ec7d-c936-2694-630fda083232,Yanek Korff,http://www.linkedin.com/in/yanek,1,0
FieldAware,05d5dab1-c35d-7e08-16db-1a08b4b81aa2,Andronikos Nedos,https://www.linkedin.com/in/andronikosnedos/?originalSubdomain=ie,1,0
Optimizely,05ef80a9-3eea-f156-30ea-9e75f0ad2e7e,Dan Siroker,http://www.linkedin.com/in/dsiroker,1,0
Optimizely,05ef80a9-3eea-f156-30ea-9e75f0ad2e7e,Pete Koomen,http://www.linkedin.com/in/petekoomen,1,0
Scalyr,05f490a4-6821-6f4b-ee9d-5c3b3a72f449,Steve Newman,https://www.linkedin.com/in/stevescalyr/,1,0
Scalyr,05f490a4-6821-6f4b-ee9d-5c3b3a72f449,Steven Czerwinski,https://www.linkedin.com/in/steven-czerwinski-b17b5859/,1,0
Remix,070f83c6-3058-e509-9507-d962d25bdce2,Dan Getelman,http://www.linkedin.com/in/dangetelman,1,0
Remix,070f83c6-3058-e509-9507-d962d25bdce2,Danny Whalen,https://www.linkedin.com/in/dannyrwhalen,1,0
Remix,070f83c6-3058-e509-9507-d962d25bdce2,Sam Hashemi,https://www.linkedin.com/in/samhashemi,1,0
Remix,070f83c6-3058-e509-9507-d962d25bdce2,Tiffany Chu,https://www.linkedin.com/in/tiffanychu,1,0
KOA,0775cbec-c160-905e-d3a0-249dca41fa57,Mike Hartman,https://www.linkedin.com/in/mikehartmanjr,1,0
ActionIQ,078a1b51-dbde-3d01-c3e0-0d19cbc2c058,Nitay Joffe,http://www.linkedin.com/in/nitayj,1,0
ActionIQ,078a1b51-dbde-3d01-c3e0-0d19cbc2c058,Tasso Argyros,http://www.linkedin.com/in/tasso,1,0
Infinite Recovery Holdings,07d43926-d48c-425f-a2b7-badc2520f8b6,Michael Dadashi,https://www.linkedin.com/in/michaeldadashi/,1,0
Infinite Recovery Holdings,07d43926-d48c-425f-a2b7-badc2520f8b6,Ylianna Dadashi,https://www.linkedin.com/in/ylianna-dadashi-45318a13a,1,0
Vertify,07d62a0f-65e8-4f52-a5d6-1cd35ca610df,Matt Klepac,https://www.linkedin.com/in/matthew-klepac-mirabella-9206b825/,1,0
Vertify,07d62a0f-65e8-4f52-a5d6-1cd35ca610df,Wayne Lopez,https://www.linkedin.com/in/wayne-lopez-6a0641/,1,0
Lytics,080459f0-52e3-4a57-ddde-0e90494a2b83,Aaron Raddon,http://www.linkedin.com/in/araddon,1,0
Lytics,080459f0-52e3-4a57-ddde-0e90494a2b83,James McDermott,http://www.linkedin.com/in/jamesmcdermott1,1,0
Open Listings,0864f2b0-1733-8a8d-af20-4f8373c7f912,Alexander Farrill,https://www.linkedin.com/in/alexfarrill,1,0
Open Listings,0864f2b0-1733-8a8d-af20-4f8373c7f912,Judd Schoenholtz,http://www.linkedin.com/in/juddschoenholtz/en,1,0
Open Listings,0864f2b0-1733-8a8d-af20-4f8373c7f912,Peter Sugihara,https://www.linkedin.com/in/petersugihara,1,0
Court Buddy,087d5ca8-bf60-b347-f569-f8883475982a,James Jones Jr,https://www.linkedin.com/in/james-jones-jr-esq,1,0
Court Buddy,087d5ca8-bf60-b347-f569-f8883475982a,Kristina Jones,https://www.linkedin.com/in/kristinabingham/,1,0
Atmosphere,087e42d4-c9c1-f564-8428-c8195528fa11,Spencer Millard,https://www.linkedin.com/in/spencer-millard-13273033,1,0
Honey,08c5b500-75e2-2ad6-ebf6-318bd5402ead,Alison Morris,https://www.linkedin.com/in/alisonmorris,1,0
Honey,08c5b500-75e2-2ad6-ebf6-318bd5402ead,Chip Kellam,https://www.linkedin.com/in/jasontiernan,1,0
Honey,08c5b500-75e2-2ad6-ebf6-318bd5402ead,Jason Tiernan,https://www.linkedin.com/in/rachelzisserkaplowitz,1,0
ButterflyMX,08ccbd6b-dd1c-abaf-9c45-df7addeda2c4,Cyrus Claffey,https://www.linkedin.com/in/cyrus-claffey-018a234/,1,0
ButterflyMX,08ccbd6b-dd1c-abaf-9c45-df7addeda2c4,Ivan Mihalj,https://www.linkedin.com/in/ivanmihalj/,1,0
ButterflyMX,08ccbd6b-dd1c-abaf-9c45-df7addeda2c4,Kunal Shah,https://www.linkedin.com/in/kunalhshah/,1,0
ButterflyMX,08ccbd6b-dd1c-abaf-9c45-df7addeda2c4,Matthew Knoff,https://www.linkedin.com/in/matthewknoff,1,0
Worklete,093d0618-a653-8785-c033-f52960ff3839,Benjamin Kanner,https://www.linkedin.com/in/bkanner,1,0
Worklete,093d0618-a653-8785-c033-f52960ff3839,John Post,https://www.linkedin.com/in/john-leo-post-b769b652/,1,0
Pathrise,094d41ed-352d-4947-9806-460e7bc50727,Derrick Mar,https://www.linkedin.com/in/derrick-mar,1,0
Pathrise,094d41ed-352d-4947-9806-460e7bc50727,Kevin Wu,https://www.linkedin.com/in/kevintxwu/,1,0
Reonomy,094f75c6-1452-1823-9a65-a85b96c75d69,Charlie Oshman,https://www.linkedin.com/in/charlieoshman/,1,0
Pindrop Music App,09fa9c10-f6ac-5dd1-a36c-9ec16a95b68a,Prankush Roopanwal,https://www.linkedin.com/in/prankush-roopanwal-08954531,1,0
Pindrop Music App,09fa9c10-f6ac-5dd1-a36c-9ec16a95b68a,Sumit Chakraborty,https://www.linkedin.com/in/bearduo,1,0
Pindrop Music App,09fa9c10-f6ac-5dd1-a36c-9ec16a95b68a,Vishu Gupta,https://www.linkedin.com/in/vishugupta1/,1,0
Fullbridge,0a1b0ccf-a7d7-108b-e64c-a08e2b0d8a0e,Candice Olson,http://www.linkedin.com/in/candicecarpenterolson,1,0
Fullbridge,0a1b0ccf-a7d7-108b-e64c-a08e2b0d8a0e,Peter Olson,http://www.linkedin.com/pub/peter-olson/b/537/732,1,0
TripActions,0a7e2dcf-4f0a-9f57-7324-fde99ef01efb,Ariel Cohen,https://www.linkedin.com/in/arielmcohen,1,0
Inkling Systems,0abdc3a0-5ae3-ad07-8754-d657a1ebecd2,Josh Forman,http://www.linkedin.com/in/macinnis,1,0
Inkling Systems,0abdc3a0-5ae3-ad07-8754-d657a1ebecd2,Matt MacInnis,https://www.linkedin.com/pub/rob-cromwell/0/662/a51,1,0
